Iteration_step	Porb	eccentricity	Wdisk	logQ	primary_mass	age	feh	secondary_mass	posterior_probability	acceptance_ratio	inital_orbital_period	initial_eccentricity	current_orbital_period	current_eccentricity	current_spin	delta_e	delta_p	bad_solution_flag	gsl_flag	
1	30.477	0.306	4.1	7.237923792379238	0.9587476829728673	7.331411799757448	0.060534244966829104	0.9730330234491629	3.314453467210165	0.0	30.49247092454483	0.30638709736449526	30.477000000163176	0.3060000000036179	26.531195076143927	1.63176139267307e-10	3.6178837703459976e-12	False	False
2	30.477059941031474	0.30588558260484866	3.7288817139763957	7.614373832301288	0.9971574367513353	6.802131394869001	0.16010168558358906	1.01201508255893	2.9166450778669732	0.8799776816061219	30.482511681127693	0.3060375368352553	30.47705994091493	0.30588558260379284	29.646575082317348	-1.1654321951937163e-10	-1.0558220964185239e-12	False	False
6	30.477094439365846	0.3063964154593631	3.6352781206803297	7.887201834903408	0.9274740107146734	6.830003544314473	0.022707782512282407	0.941293373474322	1.7910424347367897	0.6140762372248018	30.48029592782321	0.30645896650993	30.477094439505585	0.3063964154610482	32.283058436106444	1.397388871282601e-10	1.6850965067760626e-12	False	False
8	30.47688274163632	0.307202782127948	3.218591022398527	7.586029481595634	1.0643224834018596	6.980080288066603	0.10532109115784921	1.0801808884045472	1.1987193208904887	0.6692858291024532	30.489347245797546	0.30751779311972893	30.476882746185897	0.30720278217007824	26.426325683042993	4.549576715362491e-09	4.213024373811436e-11	False	False
12	30.476846397146623	0.3073551552989365	4.139465070983899	7.092010567414875	1.1136862244992938	7.189953789670431	0.28125480199451974	1.130280149244333	0.6032430508834787	0.5032396161224377	30.515024033965986	0.3084270756699174	30.476846397501266	0.3073551553023646	20.317897598334177	3.546425375589024e-10	3.4281466554375584e-12	False	False
15	30.476976682739608	0.3065639821127453	4.265517203650934	7.414432636530532	0.9970979525555925	7.838982803762926	0.22725313497805513	1.0119547120486707	2.958466253897367	4.904269099436039	30.488951498829923	0.30686728608351066	30.476976682762366	0.3065639821129115	28.026302943007867	2.275868382639601e-11	1.6620038678638593e-13	False	False
21	30.477006957219544	0.3066070835125375	4.476040327145244	6.810199513335818	0.9843507115079883	6.6760575534369995	0.22093256410482315	0.9990175371094572	2.0746337348111705	0.7012531348221834	30.50893077342144	0.3074637046054378	30.47700695769243	0.30660708351484767	20.318004638461623	4.728875069304195e-10	2.3101520696400257e-12	False	False
23	30.477029669719677	0.3052322596643577	3.4723356843604023	5.992323539226935	1.08024625803292	8.609268723101108	0.3594893226499546	1.0963419272776105	2.110475616262528	1.0172762453680142	30.85607358268558	0.3181648240512572	30.477029670070785	0.3052322596630596	20.31801978004719	3.511075874484959e-10	-1.298072760391733e-12	False	False
24	30.477009798128076	0.3062001217733446	2.9423898938283624	6.1398906752801485	0.9769823598873039	8.198309948395458	0.188727656281035	0.9915393970496246	2.1715698565362413	1.0289480910383157	30.629242782400485	0.3113112367800969	30.477009797601376	0.30620012176241646	20.318006531734248	-5.267004610232107e-10	-1.0928147275990341e-11	False	False
31	30.477158898901706	0.30562637391028685	3.1845991234957443	5.920844683171159	1.0198355026684336	8.411336309915646	0.19257729857313224	1.035031051658193	1.128694107543811	0.5197595205820975	30.823962155042494	0.3174118736283431	30.477158901759054	0.3056263739632682	20.31810593450604	2.8573481358762365e-09	5.2981341536195714e-11	False	False
33	30.477064696755978	0.3062657501133966	2.7043837306695893	5.986822118409401	1.0198355026684336	8.411336309915646	0.19257729857313224	1.035031051658193	1.9266012665617387	1.7069294981563075	30.77692514147931	0.31641966407155225	30.4770646954174	0.30626575009212015	20.31804313027827	-1.3385772490437375e-09	-2.1276425066218962e-11	False	False
34	30.477031966270186	0.30636083155699084	2.771148348928056	5.825130845563227	1.006545198247833	8.8751784438478	0.1518039527676775	1.0215427217017257	1.8807359322506403	0.9761936550613034	30.960573457611144	0.322329958633525	30.477031967069653	0.30636083157566296	20.318021311379773	7.994671591404767e-10	1.86721194062045e-11	False	False
