system_number   KIC teff    teff_e  feh feh_e   Porb    Porb_e  e   e_e logg    logg_e  Pspin   Pspin_e q   logQ
1   8984706	5895.0	175.0	-0.32	0.3	10.135	0.0000300	0.014	0.01	4.103	0.344	12.482	1.2960000000000012	0.965	8.264626462646264	
2   8411947	5284.0	185.0	-0.18	0.3	1.798	0.0000025	0.03	0.01	4.518	0.081	1.767	0.040000000000000036	0.819	8.025502550255025	
3   9896435	4848.0	173.0	0.06	0.25	18.077	0.0002024	0.0086	0.1	4.55	0.065	25.894	5.4140000000000015	0.5516	7.366536653665366	
4   8098300	6502.0	146.0	-0.4	0.25	4.306	0.0000086	0.035	0.01	4.44	0.052	4.306	0.0259999999999998	0.8539	6.999699969997	
5   7846730	6271.0	199.0	-0.1	0.25	11.028	0.0000332	0.0405	0.01	4.199	0.19	13.713	0.4660000000000011	0.8263	8.81888188818882	
6   4940201	5496.0	164.0	-0.38	0.35	8.817	0.0000244	0.046	0.01	4.607	0.032	10.296	0.7530000000000001	0.9269	7.416641664166416	
7   8316503	6350.0	170.0	-0.34	0.3	5.065	0.0000110	0.12	0.001	4.233	0.185	5.066	0.09200000000000053	0.4841	8.000300030003	
8   10711551	6022.0	162.0	-0.2	0.3	10.692	0.0000336	0.053	0.01	4.49	0.054	10.692	0.31599999999999895	0.8791	7.999799979998	
9   9468296	4961.0	151.0	-0.14	0.3	5.749	0.0000132	0.061	0.01	4.545	0.078	5.837	0.19899999999999984	0.8159	5.722572257225723	
10  8364119	5623.0	152.0	-0.4	0.3	7.736	0.0000200	0.02	0.01	4.596	0.036	8.954	0.22100000000000009	0.9184	7.513451345134514	
11  4751083	6306.0	177.0	-0.04	0.25	4.532	0.0000343	0.031	0.01	4.283	0.132	4.408	0.133	0.6789	6.098509850985098	
12  8543278	5085.0	136.0	-0.58	0.3	7.549	0.0000195	0.018	0.01	4.679	0.028	8.603	0.5050000000000008	0.6828	7.2394239423942395	
13  9509207	5864.0	176.0	-0.06	0.3	14.2	0.0000479	0.0241	0.01	4.139	0.299	23.85	0.6329999999999991	0.975	8.698469846984699	
14  3348093	4478.0	156.0	0.16	0.25	7.964	0.0000629	0.124	0.001	4.578	0.06	8.185	0.27200000000000024	0.8	7.055405540554055	
15  5736461	5616.0	169.0	-0.2	0.3	7.346	0.0000195	0.141	0.001	4.574	0.042	6.675	0.06400000000000006	0.8684	7.727072707270727
16  5955321 6360.0  176.0   -0.2    0.25    11.638  0.0000363       0.453   0.001   4.433   0.067   4.968   0.16600000000000037     0.9882  8.0
17  4540632 5023.0  151.0   0.04    0.25    31.005  0.0001494       0.673   0.001   3.9     0.7     9.361   0.3149999999999995      0.5939  8.0	
