Iteration_step	age	teff_primary	feh	Pdisk	logQ	
1	4.967407412864561	6049.981639325159	0.10065474775368109	4.444577523760787	8.885325891509046	nan	0.0
2	5.558384683301405	5956.48347819766	0.02443588011129852	4.493974171880793	8.913197242571274	6.644339269493762	1549585949.7022586
3	3.77405706535172	6009.172468097922	0.09283692992237683	4.314969086269765	9.056475593977295	7.416607465101828	258.1523356437683
4	3.5170211271157767	6204.275726820806	0.034630890780204995	4.664171962423601	8.66739948189352	5.266382500017669	292.8358883857727
5	4.607023822760357	5863.459243019994	0.10065488975645086	4.466354441231098	9.257357479166558	9.564504311095963	319.0371947288513
6	5.410316794459038	5955.443650935959	0.0632756609268494	4.632442089038596	9.271321126656018	8.521299602528405	374.081748008728
7	6.580998462970829	5948.374513169588	0.11717885069218344	4.437794293390758	9.065105700575444	nan	374.081748008728
9	1.8216576946490772	5716.663504645491	0.12848993496449443	4.757481187789354	8.842577895338156	8.198381982734528	145.49429988861084
10	0.09481196449724494	5821.080512325059	-0.0006441913734586795	4.529445743728268	8.726902267824064	0.7703934103845171	15.777913808822632
11	1.849655567789963	5864.318277148198	-0.044820220657058846	4.575921372443605	8.891904335298	8.821872586253726	142.82339692115784
12	1.5030766722181093	5910.382500848638	-0.08067886214599153	4.238962781746815	8.738034431007307	7.858159623357165	125.1991503238678
13	1.1361357781305634	5941.709180644041	0.07591614158553502	4.363947326744158	8.695153430567492	6.56391327482571	97.13727521896362
14	0.7091541716476075	6064.6364133930165	-0.08956485060300004	4.49767047797007	8.578871261808802	5.639552170305318	79.4307017326355
15	0.42028084802966714	5835.540858584626	-0.04497845411221217	4.511823821647184	8.591728569124172	5.209027285025625	50.46623110771179
17	-1.3696512982540718	5809.017515358829	-0.06981455569254547	4.108068945035603	8.803431989446704	7.767234987244959	99.43031644821167
18	2.782415815017271	6011.123888345962	0.04870252170700955	4.275468582051312	8.616744069828515	5.7827083370632755	203.49387645721436
19	6.7442355184867555	5792.682992059282	0.1351168696752721	4.334054059012349	8.964055722959364	6.92491071977463	471.2935678958893
20	1.3028338411069111	5878.861117054308	0.0006936724020783908	4.377656938718982	8.960608850275312	8.590918669481052	116.08898305892944
22	2.557971717563773	5932.773669428304	-0.10497316172557083	4.354873077858509	8.891159091718464	8.732329785291588	204.33564496040344
23	0.8796799861360833	6034.583180071408	-0.2117357298981302	4.544720944468198	8.651492153971205	6.9369755381166405	79.14634299278259
24	2.854689881068689	5903.581547549993	-0.0674110522953216	4.414698589620121	8.59069045972449	6.774244191244521	228.29904747009277
25	2.4436064199957768	5859.216405034456	-0.08578252929562358	4.293036843882643	8.851660634889464	8.78750735861179	196.30220532417297
26	3.122509260204403	5833.936408565628	-0.22935377371068943	4.407663449263553	8.473276042246193	7.279086506019841	247.7612075805664
27	4.969346409930915	5859.4984686577	-0.1113114217207495	4.397379806919693	8.442564720748086	6.044295053119023	422.6927525997162
28	3.065878487366244	5854.790285764832	-0.04678772705149249	4.34994998184249	8.911805937806012	8.820384427168317	248.46366810798645
29	4.016286013985791	6008.195392385545	-0.050931414550180354	4.3593088030005775	8.531743103011951	5.578716321934808	355.60649704933167
30	0.47035559771463165	5754.028157336068	-0.16636710178955952	4.271980573881473	8.596824709590722	5.999808353265834	60.880462408065796
31	0.25914398788962556	5818.4715814299325	-0.27126072955043645	4.275146598120932	8.293036463729356	3.641096441109138	42.462852239608765
32	8.248334014140461	5843.971152068773	-0.12453452162915363	4.349751662876326	8.556355894232729	5.874108660732976	660.8172936439514
33	2.329007664760931	5875.759243879834	-0.07023373788943985	4.413517007953177	8.449438415679518	6.295137826493607	190.9356255531311
34	4.941097647431736	5790.51117130776	0.05844380417426055	4.290134646339135	8.940428853057668	8.146252346800622	363.5433785915375
36	6.509504902507549	5954.851811100132	0.12121088594171427	4.653670220542537	8.668233391462604	nan	271.755957365036
37	3.2309580242887415	5938.442289236561	-0.019581534412420346	4.481908519878216	8.720602728332853	6.924871650700922	254.50136256217957
40	2.4470836959982183	5762.111157001361	0.02724570660932629	4.570688617999314	9.091974851788601	10.306187469927549	196.11113810539246
42	3.7222833521594287	5797.100702766301	-0.09278255136254503	4.492887439237568	9.047141119207595	10.419212813554717	286.3231990337372
44	0.2302317167209358	6076.050817161001	-0.025553666950535646	4.703213111433427	8.644071485874568	1.8424987970947801	36.13409113883972
45	1.0090094031059564	5852.460087817785	0.041416824740031485	4.821694171706072	8.650027588826534	6.807218662097393	99.1414999961853
46	2.403570997477753	5945.433312631846	0.1139729614741128	4.645288617649223	8.745872732974714	6.492055231235293	191.0173623561859
47	0.8840420483294751	5970.1062837154595	-0.07961141308711425	4.800160346331177	9.006588396634303	7.591341265377077	74.77462410926819
48	-0.3121437586105906	5975.212904160987	0.0004926697117578413	4.6038590643777635	8.779789331416962	7.591341265377077	74.77462410926819
49	4.325985559119264	5872.483401490578	0.10764290177249546	4.419720119342132	8.468953153967888	5.266381564837458	372.96793484687805
50	5.235536270931263	5779.565206436046	-0.08944490318922507	4.700218651409009	9.05843587661703	10.195050865335967	375.99337458610535
51	3.8953299690965904	5877.966361572762	-0.02648485652786242	4.603140178040927	9.117779903755817	9.778799777457534	292.0602014064789
52	1.7679789922820932	5757.584268633091	-0.031281121969605974	4.704697996046766	8.735258008664808	8.30806694536795	151.95594120025635
54	4.844208583475265	6013.502614850128	0.01644171578600897	4.727722821624548	8.837074237941074	6.200877829797207	402.4592945575714
55	4.40293000522896	5904.190389477627	0.006848891077778276	4.774134590829992	9.028512650497072	8.451227592130548	329.5935606956482
56	8.783089345405397	5978.903167976801	-0.16967742621975354	4.581089055260589	9.101515634518794	nan	329.5935606956482
57	7.375239773147706	5925.981917757404	0.04803055298535725	4.515412308795303	9.252917488552981	nan	329.5935606956482
58	3.8390807877330717	5996.244815021146	-0.11907527842996521	4.730481119079118	8.638431885754457	6.599937821404987	289.7386085987091
59	6.366884879091819	5941.018752653008	-0.16957219762198666	4.682595748003828	9.278132209937002	10.7985627390014	459.6256158351898
60	5.686559286541634	6027.671488212554	0.004176258320327732	4.4165572968110105	8.97249054461139	6.0091601120221085	468.26703548431396
61	6.2219382982088645	6138.7096536386325	-0.09523990171431695	4.690471157094435	9.176884310612751	nan	468.26703548431396
62	8.423544714163501	6110.474231822113	-0.040199518479445945	4.526129928134683	9.178525830174912	nan	468.26703548431396
63	6.38103737335101	6086.038253715554	-0.12476116045582558	4.618452661467436	9.07986849162751	6.938570366717928	464.6161262989044
64	9.01204547773074	6081.134247730577	-0.132258470588821	4.716221495452068	8.935192258230222	nan	464.6161262989044
65	4.378784051047693	5950.964005468992	-0.0958083420174354	4.771798432812728	9.128863705372627	9.687212177842488	337.7000021934509
66	5.533799379383652	6120.419723310409	0.02360210864335071	4.59243740475627	9.033531723948759	nan	337.7000021934509
67	3.7309352144101613	6011.721345063742	-0.20022390742060805	4.555868737208602	9.23157603259828	11.249636891126325	289.337765455246
68	2.5371519481455684	5928.444442799862	0.044624360381384266	4.639237743707921	9.100164252251691	9.123703306455697	206.97004747390747
69	7.633635060211695	5902.787863251056	0.012149899659008694	4.638421471204585	8.848701013972628	5.479647587733905	612.9650542736053
70	5.6863236177679966	6071.166296515481	0.04147792624494032	4.6229909281502	8.99080071709619	nan	612.9650542736053
71	5.924654511037694	6108.050787772797	0.125720404876575	4.756716231548332	9.487334978541572	nan	612.9650542736053
72	13.653646512481998	6090.103010412424	-0.06916690142755735	4.6214723712521595	9.223583425081308	nan	612.9650542736053
75	3.6471372932743513	5830.564440265928	0.016020114257985874	4.609152498981859	8.656775136945667	6.85083865181537	280.853360414505
76	2.3743090690461135	5798.262582531907	-0.08504667814785262	4.650129693934347	9.311953016125416	12.733210631005427	195.8882703781128
77	3.4438584072685985	5737.50543001958	-0.20246132839885547	4.400314148182779	8.760326318378477	9.4166616992497	261.919385433197
78	1.0856218307681442	6011.195911661219	-0.08987503949710393	4.458088681598376	9.066995268273821	8.335804930392877	87.74562358856201
79	2.894117941756303	5810.188822590673	-0.023780757602885158	4.620487224207755	9.23987294705879	11.555743868386113	222.12761163711548
80	1.623731652476763	5829.601416212539	0.04296552261736348	4.508307313561749	8.995756815038181	9.023162339173473	133.33183789253235
81	6.010877757355761	5874.602449999687	-0.2235162971264186	4.4937050924637	9.05068619631054	10.251951524169016	438.2178201675415
82	0.7471785375301079	5811.043569276515	0.017341367200738807	4.470916821900759	8.833042397701746	7.035580347106557	75.78589463233948
83	2.4693688121593955	6112.604270587382	-0.07337743681600317	4.345342857899675	8.80467130654846	6.98494610370626	194.5619020462036
84	4.569407128273287	6143.988812694334	-0.047730499481991456	4.503518535826827	8.899674994811845	6.000351562320937	328.930645942688
86	5.738563998102	5770.602760814317	-0.05250230237488575	4.518463311861217	8.57511625976776	6.682772974272751	468.1258227825165
87	7.38450448034003	5853.206882735053	-0.14473444461192647	4.514081306375706	8.933731846600487	8.388873067438087	522.3571512699127
88	5.934447782257539	5876.969233830854	-0.12789197910487488	4.494160338716822	8.963216457063053	8.75878527713158	431.4072709083557
89	4.656883100715282	5870.032749115229	0.23530285786247376	4.554086015044665	8.349555106844448	5.266382500617647	450.39000487327576
90	2.962437812118748	5763.812175191846	-0.03772063922146484	4.450020527061432	8.739522004456346	8.159516019686807	249.88190174102783
91	7.574021546974995	5824.317101692098	-0.1568614492753864	4.479845815426806	8.436187245163616	5.884467134237107	617.8985462188721
93	6.758942215035022	5775.64597132815	-0.22079694283562587	4.4164850741525195	9.163925863385648	11.90680773008769	500.98599672317505
94	2.8716706447022897	5705.604600764637	-0.06268751189208044	4.446082958295045	8.863783242216396	9.521371405996803	241.71425461769104
95	6.8762664462692875	6031.007518252797	0.00934565774215975	4.1724851054867225	8.638617280022894	nan	241.71425461769104
96	7.213897411674508	5913.693488845769	0.1788712233566417	4.382826250865574	9.135206279647313	nan	241.71425461769104
97	3.470722724545159	5812.916114837936	-0.07027264156814789	4.5965053807641425	8.801436811530472	8.393174878639126	272.4549422264099
98	4.214344463583309	5858.029218057579	0.10488814528343618	4.488457427389091	8.869488269363845	7.149743774621913	321.7843601703644
