Iteration_step	Porb	eccentricity	Wdisk	logQ	primary_mass	age	feh	secondary_mass	posterior_probability	acceptance_ratio	inital_orbital_period	initial_eccentricity	current_orbital_period	current_eccentricity	current_spin	delta_e	delta_p	bad_solution_flag	gsl_flag	binary_destroyed	
2	10.302954048959522	0.2774414983795806	3.7277110253225585	6.5206599878291005	0.798637676377045	5.964654042020467	-0.3186873480115563	0.6901826799250422	nan	0.0	nan	nan	10.302954048959522	0.2774414983795806	nan	nan	nan	False	True	False
4	10.303045124077483	0.277732923295049	3.2956579103449823	6.67234537698968	0.7829886672569236	7.993157388371919	-0.5071425481488475	0.6766588062434333	nan	70.22155857986546	nan	nan	10.303045124077483	0.277732923295049	inf	nan	nan	False	False	True
5	10.303002893305221	0.27851144994855404	3.6732928279389325	7.2899401303666815	0.8629547586741295	6.721680845789987	-0.10469526069921492	0.7457655024461827	0.037366343971399	6.493511268583739e-05	10.571543878828168	0.29604445796610224	10.30300292470071	0.2785114506978186	10.292049467854344	3.1395488875318733e-08	7.492645393014641e-10	False	False	False
6	10.302956399641657	0.2786854823119241	3.726611111950001	5.829881367970824	1.018376404444344	7.340400642842027	0.239123169989095	0.880080888720802	nan	6.493511268583739e-05	nan	nan	10.302956399641657	0.2786854823119241	nan	nan	nan	False	True	False
7	10.302973709927516	0.27931628655760415	4.158688308819728	7.502622648543375	0.8168327374855718	6.075243624183611	-0.18246579460833437	0.7059068517350312	0.010527328781550988	1.8294358185914832e-05	10.476521948538199	0.2869053748889578	10.302973699824749	0.2793162862487569	10.30297369982475	-1.0102766623276693e-08	-3.088472810830467e-10	False	False	False
8	10.303031163444192	0.27853628450692086	3.9216095039631784	7.16161571730006	0.7898255038354476	6.229575813584117	-0.33159077932019454	0.6825672004145937	0.02067267971623971	3.592491649490084e-05	10.564169698415478	0.2945400492849846	10.303030943806185	0.27853627686238985	10.303030943806187	-2.1963800733715289e-07	-7.64453100821072e-09	False	False	False
9	10.303018453287633	0.2790963594632757	3.6930594202059672	6.124285803090153	0.9553389814005167	5.992174285885919	-0.18607761628797823	0.8256039477263265	nan	3.592491649490084e-05	nan	nan	10.303018453287633	0.2790963594632757	inf	nan	nan	False	False	True
10	10.303001671324862	0.2759011154292076	2.5972366699940785	6.7060521940196445	0.8111574099102729	7.061371439305755	-0.3060924532726168	0.7010022336444578	1.4681891988872001e-12	2.5514144800155636e-15	11.256184792218729	0.3336146767333905	10.303001455875606	0.27590107611411735	7.3660205033643775	-2.1544925665750725e-07	-3.9315090238911665e-08	False	False	False
11	10.302970861324132	0.27836012381998504	4.049649118487519	7.4008543933815405	0.8118086413068685	7.057245303761091	-0.31609271880722833	0.7015650278173957	0.020658991815779376	3.590112970539035e-05	10.533822581365525	0.2898689671006851	10.302970742491246	0.27836006640640215	10.30297074249125	-1.188328866419397e-07	-5.7413582887910763e-08	False	False	False
12	10.3029636078614	0.277655373811195	3.5004537977422894	7.770021079569411	0.9066165444902362	6.439307168529565	-0.15346454176643742	0.7834980177484621	0.016410687129285555	2.8518439449356746e-05	10.448954513055478	0.2840406017433175	10.302963585726316	0.277655374425961	10.302963585726317	-2.2135084876140354e-08	6.147660158717372e-10	False	False	False
