0	KIC	teff	teff_e	feh	feh_e	Porb	Porb_e	e	e_e	logg	logg_e	Pspin	Pspin_e	q	mass	age	feh
1	1026032	5951.0	160.0	-1.06	0.3	8.46	0.0000230	0.042	0.01	4.638	0.032	10.778	0.38400000000000034	0.663	0.7869448628061949	2.4641883026439153	-0.8955888542063004
2	2306740	5912.0	160.0	-0.3	0.3	10.307	0.0000306	0.299	0.001	4.225	0.258	0.733	0.0010000000000000009	0.9721	0.9376418375586761	6.343103340786061	-0.23475494505424693
5	2580872	5496.0	164.0	0.06	0.25	15.927	0.0000571	0.184	0.001	4.471	0.075	14.077	0.9540000000000006	0.8347	0.9654755537291438	3.85637152328439	0.0890714690959666
8	3098194	5527.0	166.0	-0.02	0.25	30.477	0.0001451	0.306	0.001	4.315	0.205	26.521	6.749000000000002	1.0149	0.9587476829728673	7.331411799757448	0.060534244966829104
12	3323289	5427.0	161.0	-0.1	0.3	33.693	0.0001642	0.255	0.001	4.448	0.117	29.317	8.070999999999998	0.8326	0.9124086519719712	6.250860504317274	-0.007704704234233993
13	3348093	4478.0	156.0	0.16	0.25	7.964	0.0000629	0.124	0.001	4.578	0.06	8.185	0.27200000000000024	0.8	0.7745316018177588	6.206807123244469	0.17304242344261733
14	3530668	6224.0	199.0	-0.14	0.25	1.946	0.0000029	0.085	0.01	4.165	0.24	1.937	0.008999999999999897	0.4292	1.062659100869097	4.528845456247639	-0.19759853806898514
17	4149684	6098.0	193.0	-0.08	0.25	4.321	0.0000091	0.0414	0.01	4.384	0.09	4.218	0.13100000000000023	0.4755	1.0167021828325085	4.3427981942174645	-0.14922773117426946
18	4159347	6171.0	185.0	-0.52	0.35	12.284	0.0000390	0.214	0.001	3.668	0.323	4.515	0.12700000000000067	1.0	0.9934274689415143	6.170600737581178	-0.416398968580733
20	4352168	5282.0	159.0	-0.7	0.3	10.644	0.0000319	0.184	0.001	4.578	0.084	10.188	0.5960000000000001	0.5617	0.7169167842048034	6.8969538278538485	-0.5576594584669534
23	4751083	6306.0	177.0	-0.04	0.25	4.532	0.0000343	0.031	0.01	4.283	0.132	4.408	0.133	0.6789	1.095242475118804	3.7237511502288316	-0.184279902542773
