KIC	teff	teff_e	feh	feh_e	Porb	Porb_e	e	e_e	logg	logg_e	Pspin	Pspin_e	q
1026032	5951.0	160.0	-1.06	0.3	8.46	0.0000230	0.042	0.01	4.638	0.032	10.778	0.38400000000000034	0.663
2452440	5753.0	192.0	-0.56	0.3	8.097	0.0000639	0.098	0.01	4.423	0.153	9.267	0.5890000000000004	0.2569
3097352	6024.0	189.0	-0.06	0.25	4.03	0.0000236	0.087	0.01	4.385	0.108	3.957	0.03200000000000003	0.2182
3120320	5865.0	79.0	0.16	0.15	10.266	0.0000300	0.049	0.01	4.169	0.162	12.473	1.1969999999999992	0.3572
3530668	6224.0	199.0	-0.14	0.25	1.946	0.0000029	0.085	0.01	4.165	0.24	1.937	0.008999999999999897	0.4292
4049124	5561.0	167.0	-0.22	0.3	4.804	0.0000102	0.094	0.01	4.558	0.048	5.519	0.27499999999999947	0.2966
4149684	6098.0	193.0	-0.08	0.25	4.321	0.0000091	0.0414	0.01	4.384	0.09	4.218	0.13100000000000023	0.4755
4751083	6306.0	177.0	-0.04	0.25	4.532	0.0000343	0.031	0.01	4.283	0.132	4.408	0.133	0.6789
4940201	5496.0	164.0	-0.38	0.35	8.817	0.0000244	0.046	0.01	4.607	0.032	10.296	0.7530000000000001	0.9269
5024292	6386.0	177.0	0.48	0.05	4.301	0.0000940	0.016	0.01	4.208	0.115	3.077	0.06000000000000005	0.9029
5181455	6188.0	175.0	-0.22	0.25	5.58	0.0000126	0.059	0.01	4.427	0.072	5.476	0.11300000000000043	0.3756
5288543	6526.0	181.0	-0.2	0.25	3.457	0.0000063	0.0766	0.01	4.182	0.18	3.453	0.01200000000000001	0.7941
5347784	5605.0	168.0	-0.04	0.3	9.584	0.0000272	0.02	0.01	3.813	0.608	10.112	0.16600000000000037	0.968
5393558	5931.0	158.0	0.0	0.25	10.217	0.0000303	0.088	0.01	4.196	0.246	9.437	0.4800000000000004	0.7975
5652260	5743.0	169.0	-0.14	0.3	8.929	0.0000737	0.022	0.01	4.553	0.035	10.953	1.1669999999999998	0.7898
5771589	6180.0	173.0	-0.34	0.35	10.739	0.0000332	0.077	0.01	4.007	0.292	14.581	0.17100000000000115	0.606
6231401	6063.0	182.0	-0.78	0.3	6.092	0.0000144	0.028	0.01	4.424	0.135	6.055	0.10599999999999987	0.766
6468938	6047.0	163.0	-0.32	0.3	7.217	0.0000181	0.036	0.01	4.246	0.22	6.813	0.516	0.9135
6965293	6174.0	166.0	-0.26	0.3	5.078	0.0000109	0.033	0.01	4.235	0.186	5.069	0.29100000000000037	0.9175
7049486	5957.0	196.0	-0.42	0.3	26.718	0.0001193	0.0146	0.01	4.168	0.3	8.797	0.30599999999999916	0.7506
7133286	4374.0	153.0	-0.22	0.3	38.511	0.0001952	0.0452	0.01	4.626	0.056	37.955	2.0820000000000007	0.5078
7177553	5684.0	190.0	-0.28	0.3	17.996	0.0000673	0.014	0.01	3.788	0.656	11.841	0.22800000000000153	0.9152
7684873	8090.0	226.0	-0.14	0.25	2.947	0.0000050	0.056	0.01	4.002	0.198	5.695	0.24099999999999966	0.4768
7846730	6271.0	199.0	-0.1	0.25	11.028	0.0000332	0.0405	0.01	4.199	0.19	13.713	0.4660000000000011	0.8263
8081482	5767.0	155.0	-0.16	0.3	2.819	0.0000047	0.041	0.01	4.33	0.18	2.745	0.029999999999999805	0.2884
8098300	6502.0	146.0	-0.4	0.25	4.306	0.0000086	0.035	0.01	4.44	0.052	4.306	0.0259999999999998	0.8539
