#KIC	Teff1	Teff2	q	r1	r2	e	Per
1026032	5715	4488	0.6630	0.0367	0.0270	0.042	8.4604378
2973509	6058	5400	0.8224	0.0541	0.0467	0.168	6.6276114
3240706	5760	5760	1.0000	0.0334	0.0334	0.053	5.4898651
3656322	5075	5454	1.1303	0.1013	0.1110	0.024	3.6636688
3865298	5295	5129	0.9472	0.0330	0.0317	0.251	9.5306346
3869326	4903	4563	0.8849	0.0250	0.0228	0.282	8.5860440
4157488	5941	5944	1.0010	0.0716	0.0716	0.126	5.1974199
4281895	5309	5346	1.0120	0.0267	0.0270	0.303	9.543588
4445630	6060	6050	0.9973	0.0630	0.0629	0.025	5.6279121
4737267	5156	4473	0.7855	0.0722	0.0603	0.040	9.5240765
4751083	6058	4824	0.6789	0.0507	0.0379	0.031	4.5323700
4758368	4594	4542	0.9810	0.1428	0.1407	0.022	3.7499354
4940201	5284	5053	0.9269	0.0126	0.0119	0.046	8.8166283
4946680	5768	5100	0.8111	0.0222	0.0190	0.118	8.6652604
5024292	6147	5788	0.9029	0.0712	0.0660	0.016	4.3010324
5286786	4946	5157	1.0736	0.0226	0.0239	0.093	9.9487462
5347784	5392	5290	0.9680	0.0389	0.0380	0.020	9.5840588
5479973	6169	4305	0.5425	0.2097	0.1326	0.066	1.7952732
5652260	5516	4801	0.7898	0.0299	0.0251	0.022	8.9292600
5736461	5412	4981	0.8684	0.0519	0.0467	0.141	7.3461642
5781192	5372	4721	0.8027	0.0342	0.0290	0.073	9.4599934
5990753	4886	4547	0.8849	0.0560	0.0511	0.258	7.2165917
6231401	5843	4995	0.7660	0.0350	0.0287	0.028	6.0919556
6468938	5805	5504	0.9135	0.0360	0.0337	0.036	7.2170122
6545018	5594	5277	0.9056	0.0863	0.0801	0.003	3.9914603
6781535	5727	4909	0.7695	0.0305	0.0251	0.252	9.1220856
6949550	5718	5631	0.9744	0.0523	0.0513	0.266	7.8410674
6965293	5944	5650	0.9175	0.0384	0.0360	0.033	5.0778199
7691527	5354	5101	0.9209	0.0414	0.0390	0.090	4.8002308
7877824	5534	5358	0.9466	0.0428	0.0411	0.206	9.4494257
8016211	4933	4633	0.8987	0.1422	0.1313	0.039	3.1748862
8364119	5443	5177	0.9184	0.0352	0.0330	0.020	7.7359104
8411947	5086	4522	0.8190	0.1070	0.0921	0.030	1.7976748
8938628	5602	4978	0.8182	0.0272	0.0234	0.003	6.8622157
9098810	5126	4813	0.8983	0.0273	0.0252	0.066	8.2581820
9119652	5097	4683	0.8659	0.0885	0.0795	0.003	2.2162380
9411943	5656	4580	0.6987	0.0488	0.0373	0.048	3.8440226
9532123	5434	5054	0.8840	0.0330	0.0301	0.207	8.215
10026457	5222	5220	0.9993	0.0455	0.0455	0.128	9.9344232
10490960	5787	5740	0.9863	0.0516	0.0511	0.102	5.6824111
10924853	5745	5672	0.9784	0.0203	0.0199	0.043	4.2048088
11391181	5218	4566	0.7971	0.0279	0.0236	0.180	8.6173396
11564013	5580	5383	0.9408	0.0520	0.0497	0.113	1.7505355
12013615	5778	5437	0.9018	0.0493	0.0456	0.011	8.2028691
12022517	5578	4318	0.6472	0.0669	0.0483	0.139	3.4427135
