# log(age[yr])   R[Rsun]     Teff[K]
6.0             0.653       3118
6.2             0.645       3119
6.4             0.632       3119
6.6             0.597       3121
6.8             0.422       3124
7.0             0.312       3112
7.2             0.252       3089
7.4             0.210       3054
7.6             0.178       3004
7.8             0.154       2932
8.0             0.134       2829
8.2             0.119       2680
8.4             0.107       2483
8.6             0.099       2070
8.8             0.094       1729
9.0             0.091       1482
9.2             0.089       1286
9.4             0.087       1121
9.6             0.085       979
9.8             0.084       856
10.0            0.083       748
10.2            0.081       654
10.4            0.080       570
